Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001,Cycle 1,Nov 12,Apr 08,Jun 05,Oct 03,May 04,Jul 02,Aug 06
2002,Cycle 1,Nov 03,Mar 30,May 26,Sep 16,Apr 27,Jun 18,Jul 19
2003,Cycle 1,Nov 04,Apr 17,Jun 02,Sep 16,May 08,Jun 22,Jul 20
2004,Cycle 1,Nov 01,Apr 07,May 30,Sep 13,May 01,Jun 22,Jul 22
2005,Cycle 1,Nov 08,Apr 13,Jun 07,Oct 05,May 08,Jul 02,Aug 05
2006,Cycle 1,Nov 16,Apr 12,Jun 01,Oct 11,May 05,Jun 23,Jul 22
2007,Cycle 1,Nov 07,Apr 04,Jun 01,Sep 30,May 02,Jun 24,Jul 23
2008,Cycle 1,Nov 10,Mar 31,May 27,Sep 28,Apr 27,Jun 23,Jul 31
2009,Cycle 1,Nov 13,Apr 05,Jun 04,Oct 06,May 01,Jul 01,Aug 08
2010,Cycle 1,Nov 11,Apr 08,Jun 04,Oct 07,May 06,Jun 28,Aug 04
2011,Cycle 1,Nov 09,Apr 08,May 31,Sep 29,May 03,Jun 24,Jul 28
2012,Cycle 1,Nov 13,Apr 09,Jun 02,Oct 03,May 03,Jun 30,Aug 04
2013,Cycle 1,Nov 04,Apr 17,Jun 03,Sep 17,May 07,Jun 25,Jul 22
2014,Cycle 1,Nov 17,Apr 01,May 27,Oct 07,Apr 26,Jun 22,Jul 28
2015,Cycle 1,Nov 08,Apr 08,May 29,Sep 19,May 03,Jun 19,Jul 17
2016,Cycle 1,Nov 12,Apr 05,Jun 02,Oct 05,May 01,Jul 02,Aug 10
2017,Cycle 1,Nov 17,Apr 04,May 31,Oct 04,May 01,Jun 21,Jul 20
2018,Cycle 1,Nov 12,Apr 05,May 23,Sep 27,Apr 27,Jun 14,Jul 14
2019,Cycle 1,Nov 12,Mar 31,May 27,Oct 01,Apr 28,Jun 18,Jul 21
2020,Cycle 1,Nov 24,Apr 09,Jun 10,Oct 13,May 07,Jul 07,Aug 12
2021,Cycle 1,Nov 16,Apr 10,Jun 10,Oct 09,May 10,Jul 05,Aug 09
2018,Cycle 2,Jan 12,Sep 12,Oct 20,Dec 20,Sep 29,Nov 04,Nov 24
2019,Cycle 2,Dec 23,Aug 13,Sep 14,Nov 14,Aug 27,Sep 25,Oct 14
