date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD21A2,LST_Day_1KM,,,,,,,,961,0,0.00
A2000057,2000-02-26,MOD21A2,LST_Day_1KM,278.6600,286.6000,269741.3750,7.9400,283.3418,1.3477,1.1609,961,952,99.06
A2000065,2000-03-05,MOD21A2,LST_Day_1KM,263.4800,283.5400,86920.0625,20.0600,278.5899,13.3614,3.6553,961,312,32.47
A2000073,2000-03-13,MOD21A2,LST_Day_1KM,254.1800,284.5200,85701.1094,30.3400,273.8055,46.4388,6.8146,961,313,32.57
A2000081,2000-03-21,MOD21A2,LST_Day_1KM,277.8200,290.6000,162961.0156,12.7800,284.3997,8.8485,2.9746,961,573,59.63
A2000089,2000-03-29,MOD21A2,LST_Day_1KM,278.8800,357.5200,103113.8359,78.6400,288.0275,49.0009,7.0001,961,358,37.25
A2000097,2000-04-06,MOD21A2,LST_Day_1KM,280.5200,297.4600,277168.3125,16.9400,293.2998,6.0756,2.4649,961,945,98.34
A2000105,2000-04-14,MOD21A2,LST_Day_1KM,291.1400,305.0200,287933.2812,13.8800,299.6184,3.2554,1.8043,961,961,100.00
A2000113,2000-04-22,MOD21A2,LST_Day_1KM,299.1200,309.4200,293326.9688,10.3000,305.2310,3.2517,1.8033,961,961,100.00
A2000121,2000-04-30,MOD21A2,LST_Day_1KM,295.6200,308.2000,290687.1562,12.5800,302.4840,5.8143,2.4113,961,961,100.00
A2000129,2000-05-08,MOD21A2,LST_Day_1KM,291.6400,307.8400,288239.0625,16.2000,299.9366,7.2874,2.6995,961,961,100.00
A2000137,2000-05-16,MOD21A2,LST_Day_1KM,296.9800,312.3800,293816.4062,15.4000,305.7403,8.4415,2.9054,961,961,100.00
A2000145,2000-05-24,MOD21A2,LST_Day_1KM,292.6000,309.4800,289413.3438,16.8800,301.4722,7.7001,2.7749,961,960,99.90
A2000153,2000-06-01,MOD21A2,LST_Day_1KM,295.9800,309.4200,290332.9062,13.4400,302.1154,6.3291,2.5158,961,961,100.00
A2000161,2000-06-09,MOD21A2,LST_Day_1KM,296.1200,311.1200,291552.2188,15.0000,303.3842,6.0212,2.4538,961,961,100.00
A2000169,2000-06-17,MOD21A2,LST_Day_1KM,298.9800,313.8600,293995.0312,14.8800,305.9261,7.8218,2.7968,961,961,100.00
A2000177,2000-06-25,MOD21A2,LST_Day_1KM,286.6000,308.7400,224303.4688,22.1400,300.6749,10.0460,3.1695,961,746,77.63
A2000185,2000-07-03,MOD21A2,LST_Day_1KM,269.0000,303.9800,143502.9688,34.9800,296.4937,13.4362,3.6655,961,484,50.36
A2000193,2000-07-11,MOD21A2,LST_Day_1KM,285.7200,301.8600,33279.7930,16.1400,294.5114,9.4639,3.0763,961,113,11.76
A2000201,2000-07-19,MOD21A2,LST_Day_1KM,286.7200,309.5600,109650.8750,22.8400,301.2387,12.6073,3.5507,961,364,37.88
A2000209,2000-07-27,MOD21A2,LST_Day_1KM,262.5800,307.8600,233022.7812,45.2800,298.3646,24.4044,4.9401,961,781,81.27
A2000217,2000-08-04,MOD21A2,LST_Day_1KM,,,,,,,,961,0,0.00
A2000225,2000-08-12,MOD21A2,LST_Day_1KM,302.9400,310.6600,292273.5625,7.7200,306.0456,2.1966,1.4821,961,955,99.38
A2000233,2000-08-20,MOD21A2,LST_Day_1KM,292.5400,313.9600,291961.5000,21.4200,303.8101,18.2455,4.2715,961,961,100.00
A2000241,2000-08-28,MOD21A2,LST_Day_1KM,288.2200,301.5800,257680.7500,13.3600,296.1848,4.6102,2.1471,961,870,90.53
A2000249,2000-09-05,MOD21A2,LST_Day_1KM,284.8400,303.2200,278042.6875,18.3800,294.5367,7.2508,2.6927,961,944,98.23
A2000257,2000-09-13,MOD21A2,LST_Day_1KM,292.2200,300.7400,165558.5781,8.5200,297.7672,3.2253,1.7959,961,556,57.86
A2000265,2000-09-21,MOD21A2,LST_Day_1KM,288.1400,296.7000,281130.9375,8.5600,292.8447,2.2927,1.5142,961,960,99.90
A2000273,2000-09-29,MOD21A2,LST_Day_1KM,291.7600,300.0000,282991.6562,8.2400,295.7071,1.9807,1.4074,961,957,99.58
A2000281,2000-10-07,MOD21A2,LST_Day_1KM,284.9200,300.8400,133109.6719,15.9200,293.1931,7.9042,2.8114,961,454,47.24
A2000289,2000-10-15,MOD21A2,LST_Day_1KM,287.0400,295.4600,280120.6562,8.4200,291.4887,1.5965,1.2635,961,961,100.00
A2000297,2000-10-23,MOD21A2,LST_Day_1KM,282.6800,289.9200,274931.5625,7.2400,286.3871,0.7283,0.8534,961,960,99.90
A2000305,2000-10-31,MOD21A2,LST_Day_1KM,283.2200,288.8800,273988.1250,5.6600,285.1073,0.8234,0.9074,961,961,100.00
A2000313,2000-11-08,MOD21A2,LST_Day_1KM,279.7200,284.5200,270956.2500,4.8000,281.9524,0.5509,0.7422,961,961,100.00
A2000321,2000-11-16,MOD21A2,LST_Day_1KM,254.7400,279.1000,17027.6191,24.3600,274.6390,52.7171,7.2607,961,62,6.45
A2000329,2000-11-24,MOD21A2,LST_Day_1KM,276.2400,281.4200,267917.2812,5.1800,279.6631,0.8099,0.8999,961,958,99.69
A2000337,2000-12-02,MOD21A2,LST_Day_1KM,276.3600,282.1600,224308.1094,5.8000,278.9902,1.3389,1.1571,961,804,83.66
A2000345,2000-12-10,MOD21A2,LST_Day_1KM,264.8000,281.0800,69495.0938,16.2800,277.9804,9.8044,3.1312,961,250,26.01
A2000353,2000-12-18,MOD21A2,LST_Day_1KM,266.8200,274.3400,236478.2969,7.5200,270.8801,1.4933,1.2220,961,873,90.84
A2000361,2000-12-26,MOD21A2,LST_Day_1KM,266.8600,273.7600,76021.1797,6.9000,271.5042,3.6953,1.9223,961,280,29.14
A2001001,2001-01-01,MOD21A2,LST_Day_1KM,267.4000,276.3600,260569.7812,8.9600,272.2777,1.2923,1.1368,961,957,99.58
A2001009,2001-01-09,MOD21A2,LST_Day_1KM,248.2800,275.2200,56246.1250,26.9400,259.1987,97.6834,9.8835,961,217,22.58
A2001017,2001-01-17,MOD21A2,LST_Day_1KM,267.1000,271.8400,92002.6875,4.7400,269.8026,1.4273,1.1947,961,341,35.48
A2001025,2001-01-25,MOD21A2,LST_Day_1KM,248.8200,278.1000,105915.9766,29.2800,264.7899,54.4351,7.3780,961,400,41.62
A2001033,2001-02-02,MOD21A2,LST_Day_1KM,260.3200,578.8800,217403.5469,318.5600,278.3656,413.7689,20.3413,961,781,81.27
A2001041,2001-02-10,MOD21A2,LST_Day_1KM,275.0200,281.9200,228918.5312,6.9000,279.1689,0.9502,0.9748,961,820,85.33
A2001049,2001-02-18,MOD21A2,LST_Day_1KM,265.8600,272.9000,119449.4766,7.0400,268.4258,2.5776,1.6055,961,445,46.31
A2001057,2001-02-26,MOD21A2,LST_Day_1KM,266.7600,278.1200,198534.8594,11.3600,272.7127,3.1562,1.7766,961,728,75.75
A2001065,2001-03-06,MOD21A2,LST_Day_1KM,274.2000,286.6400,255672.6719,12.4400,280.9590,2.7080,1.6456,961,910,94.69
A2001073,2001-03-14,MOD21A2,LST_Day_1KM,273.5000,287.1400,69896.3281,13.6400,281.8400,4.1386,2.0343,961,248,25.81
A2001081,2001-03-22,MOD21A2,LST_Day_1KM,276.3800,284.6800,257089.9844,8.3000,280.6659,2.2058,1.4852,961,916,95.32
A2001089,2001-03-30,MOD21A2,LST_Day_1KM,284.8800,297.9800,280980.1875,13.1000,292.3831,2.8672,1.6933,961,961,100.00
