date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD21A2,LST_Night_1KM,,,,,,,,961,0,0.00
A2000057,2000-02-26,MOD21A2,LST_Night_1KM,269.2600,274.1800,261254.7812,4.9200,271.8572,0.6526,0.8079,961,961,100.00
A2000065,2000-03-05,MOD21A2,LST_Night_1KM,265.6600,271.6400,144299.4219,5.9800,268.7140,1.0274,1.0136,961,537,55.88
A2000073,2000-03-13,MOD21A2,LST_Night_1KM,259.5600,271.2800,21456.1211,11.7200,264.8904,10.3868,3.2229,961,81,8.43
A2000081,2000-03-21,MOD21A2,LST_Night_1KM,269.5000,278.5600,263754.4375,9.0600,275.0307,1.7448,1.3209,961,959,99.79
A2000089,2000-03-29,MOD21A2,LST_Night_1KM,273.4200,279.8800,264461.6875,6.4600,276.6336,1.1911,1.0914,961,956,99.48
A2000097,2000-04-06,MOD21A2,LST_Night_1KM,267.4200,280.9800,106282.8516,13.5600,272.5201,8.8151,2.9690,961,390,40.58
A2000105,2000-04-14,MOD21A2,LST_Night_1KM,278.3600,286.9400,271593.1875,8.5800,282.6152,2.3886,1.5455,961,961,100.00
A2000113,2000-04-22,MOD21A2,LST_Night_1KM,280.3800,290.3600,272606.0000,9.9800,286.0504,2.7275,1.6515,961,953,99.17
A2000121,2000-04-30,MOD21A2,LST_Night_1KM,277.7600,287.4200,271275.5625,9.6600,282.2847,2.8818,1.6976,961,961,100.00
A2000129,2000-05-08,MOD21A2,LST_Night_1KM,278.2600,289.2000,271855.2500,10.9400,283.4778,2.6982,1.6426,961,959,99.79
A2000137,2000-05-16,MOD21A2,LST_Night_1KM,277.3800,290.9400,270577.6875,13.5600,283.9220,2.4282,1.5583,961,953,99.17
A2000145,2000-05-24,MOD21A2,LST_Night_1KM,274.9000,289.9800,223668.2031,15.0800,283.4832,7.7501,2.7839,961,789,82.10
A2000153,2000-06-01,MOD21A2,LST_Night_1KM,279.8600,320.6000,274358.7812,40.7400,285.7904,4.2954,2.0725,961,960,99.90
A2000161,2000-06-09,MOD21A2,LST_Night_1KM,282.7400,296.9400,277886.8438,14.2000,289.1642,2.7426,1.6561,961,961,100.00
A2000169,2000-06-17,MOD21A2,LST_Night_1KM,279.1400,292.9200,274104.3750,13.7800,286.1215,5.0202,2.2406,961,958,99.69
A2000177,2000-06-25,MOD21A2,LST_Night_1KM,276.4200,289.0000,168988.5938,12.5800,284.0144,11.0658,3.3265,961,595,61.91
A2000185,2000-07-03,MOD21A2,LST_Night_1KM,282.1800,288.3400,268495.8125,6.1600,285.0274,1.1017,1.0496,961,942,98.02
A2000193,2000-07-11,MOD21A2,LST_Night_1KM,277.1200,285.3600,89970.7344,8.2400,282.0399,3.9451,1.9862,961,319,33.19
A2000201,2000-07-19,MOD21A2,LST_Night_1KM,280.1800,290.7800,241497.6094,10.6000,287.1553,3.3202,1.8221,961,841,87.51
A2000209,2000-07-27,MOD21A2,LST_Night_1KM,281.7800,290.0000,247871.2656,8.2200,286.2255,1.4741,1.2141,961,866,90.11
A2000217,2000-08-04,MOD21A2,LST_Night_1KM,280.6400,289.4600,3143.4600,8.8200,285.7691,13.6179,3.6902,961,11,1.14
A2000225,2000-08-12,MOD21A2,LST_Night_1KM,289.9600,298.8000,236105.7969,8.8400,294.3962,2.6193,1.6184,961,802,83.45
A2000233,2000-08-20,MOD21A2,LST_Night_1KM,283.7000,295.1200,276454.2812,11.4200,287.6736,1.9787,1.4066,961,961,100.00
A2000241,2000-08-28,MOD21A2,LST_Night_1KM,281.4800,288.7200,270106.0938,7.2400,285.5244,1.7933,1.3391,961,946,98.44
A2000249,2000-09-05,MOD21A2,LST_Night_1KM,278.8600,288.9000,271157.3438,10.0400,282.7501,2.0642,1.4367,961,959,99.79
